id,label,domain,taxonomy_id,language,country,channel,text,split
NVJI-0051201,scam,job,J01,ko,KR,whatsapp,"[unknown_sender] 최종​ 경고.​ 고수익 아르바이트. 최종 경고. 결제하세요 1000. https://job-j01-96.invalid/nv-be80f5911e
[recipient] 기관의 공식 채널을 통해 독립적으로 확인하세요.
[unknown_sender] 한 시간 이내. 한 시간 이내.
[recipient] 수수료, 보증금, 비밀번호, OTP 또는 송금이 필요하지 않습니다.
[unknown_sender] 저에게 돈을 보내세요 1000. https://case-96.invalid/nv-be80f5911e Ref: NV-BE80F5911E",train
NVJI-0000689,scam,job,J01,id,MY,job_board,pemberitahuan terakhir. kerja dari rumah. dalam satu jam. kirim uang kepada saya 250. https://job-j01-9.invalid/nv-8019b90684 Ref: NV-8019B90684,train
NVJI-0009617,scam,job,J01,ms,BN,chat_group,notis terakhir. kerja dari rumah. dalam masa satu jam. pindahkan wang sekarang 250. https://job-j01-13.invalid/nv-3cb061ac7f Ref: NV-3CB061AC7F,train
NVJI-0009633,scam,job,J01,ru,KZ,job_board,действуйте​ немедленно.​ простые задания за комиссию. последнее предупреждение. переведите деньги сейчас 1000. https://job-j01-29.invalid/nv-1d70278e3f Ref: NV-1D70278E3F,test
NVJI-0001793,scam,job,J01,pt,PT,telegram,aja imediatamente. trabalhe em casa. dentro de uma hora. faça o pagamento 250. https://job-j01-46.invalid/nv-fdd5f6ec2f Ref: NV-FDD5F6EC2F,train
NVJI-0048481,scam,job,J01,ur,IN,social_media_dm,"[unknown_sender] آخری انتباہ. پارٹ ٹائم نوکری. فوری کارروائی کریں. ابھی رقم بھیجیں 49. https://job-j01-92.invalid/nv-6e8ca1e777
[recipient] ادارے کے سرکاری ذریعے سے تصدیق کریں۔
[unknown_sender] فوری کارروائی کریں. فوری کارروائی کریں.
[recipient] کسی فیس، جمع، پاس ورڈ، او ٹی پی یا رقم کی منتقلی کی ضرورت نہیں ہے۔
[unknown_sender] ابھی رقم بھیجیں 49. https://case-92.invalid/nv-6e8ca1e777 Ref: NV-6E8CA1E777",train
NVJI-0006433,scam,job,J01,bn,IN,telegram,এক ঘণ্টার মধ্যে. খণ্ডকালীন চাকরি. অবিলম্বে ব্যবস্থা নিন. আমাকে টাকা পাঠান 49. https://job-j01-30.invalid/nv-75d667b517 Ref: NV-75D667B517,validation
NVJI-0000145,scam,job,J01,ur,IN,chat_group,فوری کارروائی کریں. پارٹ ٹائم نوکری. فوری کارروائی کریں. ادائیگی کریں 49. https://job-j01-47.invalid/nv-0c238a26a0 Ref: NV-0C238A26A0,train
NVJI-0006625,scam,job,J01,ar,SA,email,تصرف فوراً. وظيفة بدوام جزئي. تصرف فوراً. قم بالدفع 49. https://job-j01-28.invalid/nv-ed76825533 Ref: NV-ED76825533,train
NVJI-0003665,scam,job,J01,vi,VN,email,hành động ngay lập tức. làm việc tại nhà. trong vòng một giờ. chuyển tiền ngay 250. https://job-j01-75.invalid/nv-7f52c44d35 Ref: NV-7F52C44D35,train
NVJI-0049538,scam,job,J02,id,MY,chat_group,"[unknown_sender] kerja dari rumah. keuntungan dijamin; dalam satu jam. https://job-j02-82.invalid/nv-6993cce61b
[recipient] Verifikasi melalui saluran resmi organisasi.
[unknown_sender] pemberitahuan terakhir. tanpa risiko.
[recipient] Tidak diperlukan biaya, deposit, kata sandi, OTP, atau transfer uang.
[unknown_sender] lakukan pembayaran 75. https://case-82.invalid/nv-6993cce61b Ref: NV-6993CCE61B",train
NVJI-0001298,scam,job,J02,es,CO,job_board,trabaja desde casa. ganancias garantizadas; actúa inmediatamente. https://job-j02-36.invalid/nv-33c4e56f5e Ref: NV-33C4E56F5E,train
NVJI-0000498,scam,job,J02,ta,LK,job_board,எளிய பணிக்கு கமிஷன். தினசரி வருமானம்; உடனடியாக செயல்படவும். https://job-j02-12.invalid/nv-807d3d5db4 Ref: NV-807D3D5DB4,train
NVJI-0004386,scam,job,J02,th,TH,chat_group,งานง่ายได้ค่าคอมมิชชั่น. ผลตอบแทนรายวัน; ดำเนินการทันที. https://job-j02-20.invalid/nv-c3c185af8f Ref: NV-C3C185AF8F,train
NVJI-0007378,scam,job,J02,es,CO,telegram,trabajo​ a​ tiempo parcial. sin riesgo; dentro de una hora. https://job-j02-5.invalid/nv-ad18019c54 Ref: NV-AD18019C54,train
NVJI-0003218,scam,job,J02,pt,BR,whatsapp,trabalhe em casa. lucro garantido; aviso final. https://job-j02-16.invalid/nv-c7212eb027 Ref: NV-C7212EB027,validation
NVJI-0001842,scam,job,J02,tl,PH,job_board,simpleng task may komisyon. araw-araw na balik; huling babala. https://job-j02-95.invalid/nv-cddab5fdae Ref: NV-CDDAB5FDAE,train
NVJI-0048034,scam,job,J02,zh,MY,telegram,"[unknown_sender] 兼职工作.​ 稳赚不赔;​ 最后通知. https://job-j02-33.invalid/nv-f0c2a3d8a3
[recipient] 请通过机构的官方渠道独立核实。
[unknown_sender] 立即处理. 保证收益.
[recipient] 无需支付费用、押金或转账，也不要提供密码或验证码。
[unknown_sender] 立即转账 1500. https://case-33.invalid/nv-f0c2a3d8a3 Ref: NV-F0C2A3D8A3",train
NVJI-0009746,scam,job,J02,tl,PH,sms,trabaho mula sa bahay. garantisadong kita; sa loob ng isang oras. https://job-j02-45.invalid/nv-542874be70 Ref: NV-542874BE70,validation
NVJI-0048402,scam,job,J02,de,DE,chat_group,"[unknown_sender] einfache aufgaben gegen provision. tägliche rendite; letzte warnung. https://job-j02-13.invalid/nv-579893293d
[recipient] Prüfen Sie dies über den offiziellen Kanal der Organisation.
[unknown_sender] innerhalb einer stunde. tägliche rendite.
[recipient] Es sind keine Gebühr, Kaution, Passwort, OTP oder Geldüberweisung erforderlich.
[unknown_sender] schicken sie mir geld 399. https://case-13.invalid/nv-579893293d Ref: NV-579893293D",train
